symbol,id,date,jdate,min,max,yesterday,first,close,last,trades_count,volume,value,ret,cumprod,adj_price
اهرم,17914401175772326,20220220,14001201,9400.0,9470.0,9430.0,9430.0,9420.0,9420.0,65.0,1089897.0,10269575410.0,0.9989395546129375,4.9411812266316115,9402.343017806947
اهرم,17914401175772326,20220221,14001202,9440.0,9650.0,9420.0,9500.0,9590.0,9590.0,48.0,379964.0,3644429350.0,1.0180467091295118,4.946426641946506,9572.024367385206
اهرم,17914401175772326,20220222,14001203,9550.0,9670.0,9590.0,9560.0,9610.0,9650.0,52.0,519333.0,4991792710.0,1.0020855057351408,4.85874233233953,9591.986879100294
اهرم,17914401175772326,20220223,14001204,9580.0,9700.0,9610.0,9690.0,9620.0,9660.0,42.0,328491.0,3161115090.0,1.0010405827263267,4.84863048565412,9601.968134957837
اهرم,17914401175772326,20220226,14001207,9560.0,9660.0,9620.0,9640.0,9580.0,9560.0,93.0,2523018.0,24167848430.0,0.9958419958419958,4.843590329224126,9562.043111527659
اهرم,17914401175772326,20220227,14001208,9500.0,9650.0,9580.0,9530.0,9540.0,9590.0,61.0,348394.0,3323354480.0,0.9958246346555324,4.863814088427567,9522.11808809748
اهرم,17914401175772326,20220228,14001209,9550.0,9700.0,9540.0,9580.0,9630.0,9580.0,69.0,253450.0,2440738990.0,1.009433962264151,4.884207438903155,9611.949390815382
اهرم,17914401175772326,20220302,14001211,9590.0,9710.0,9630.0,9630.0,9610.0,9650.0,75.0,896285.0,8613008800.0,0.9979231568016614,4.8385606404087325,9591.986879100292
اهرم,17914401175772326,20220305,14001214,9610.0,9850.0,9610.0,9620.0,9780.0,9840.0,128.0,2297982.0,22482241680.0,1.0176899063475546,4.8486304856541205,9761.668228678549
اهرم,17914401175772326,20220306,14001215,9800.0,10120.0,9780.0,9850.0,10040.0,10100.0,281.0,5196111.0,52151277080.0,1.0265848670756645,4.7643495876417274,10021.180880974707
اهرم,17914401175772326,20220307,14001216,10100.0,10500.0,10040.0,10180.0,10270.0,10140.0,380.0,8833700.0,90751246970.0,1.0229083665338645,4.640970016647022,10250.74976569823
اهرم,17914401175772326,20220308,14001217,10010.0,10190.0,10270.0,10100.0,10110.0,10190.0,73.0,431110.0,4356635440.0,0.9844206426484907,4.537033979273232,10091.049671977518
اهرم,17914401175772326,20220309,14001218,10090.0,10270.0,10110.0,10200.0,10150.0,10180.0,190.0,5496662.0,55798532380.0,1.0039564787339268,4.608836693089624,10130.974695407695
اهرم,17914401175772326,20220312,14001221,9900.0,10150.0,10150.0,10150.0,10040.0,9990.0,63.0,587360.0,5897050490.0,0.9891625615763546,4.590673789865626,10021.180880974705
اهرم,17914401175772326,20220313,14001222,9820.0,9990.0,10040.0,9910.0,9850.0,9860.0,53.0,878770.0,8659899780.0,0.9810756972111554,4.640970016647023,9831.537019681358
اهرم,17914401175772326,20220314,14001223,9840.0,9950.0,9850.0,9840.0,9900.0,9950.0,39.0,162313.0,1606313760.0,1.0050761421319796,4.730491265699097,9881.44329896908
اهرم,17914401175772326,20220315,14001224,9850.0,10000.0,9900.0,9980.0,9960.0,10000.0,29.0,145453.0,1449221270.0,1.006060606060606,4.706599895670315,9941.330834114347
اهرم,17914401175772326,20220316,14001225,9880.0,10100.0,9960.0,9880.0,10010.0,10030.0,94.0,3673858.0,36791954870.0,1.0050200803212852,4.678246884250614,9991.23711340207
اهرم,17914401175772326,20220319,14001228,10070.0,10380.0,10010.0,10090.0,10250.0,10300.0,227.0,6519705.0,66797485290.0,1.023976023976024,4.654879017695915,10230.787253983139
اهرم,17914401175772326,20220326,14010106,10300.0,10590.0,10250.0,10370.0,10410.0,10490.0,121.0,1772010.0,18442262620.0,1.015609756097561,4.545886728501084,10390.48734770385
اهرم,17914401175772326,20220327,14010107,10410.0,10800.0,10410.0,10500.0,10640.0,10740.0,314.0,6170979.0,65688066140.0,1.0220941402497599,4.476017191847849,10620.056232427376
اهرم,17914401175772326,20220328,14010108,10650.0,11120.0,10640.0,10850.0,10930.0,11000.0,416.0,10415710.0,113888553590.0,1.0272556390977443,4.379261181121815,10909.512652296167
اهرم,17914401175772326,20220329,14010109,10830.0,11100.0,10930.0,11020.0,10900.0,10850.0,237.0,1831866.0,19976195400.0,0.9972552607502287,4.263068523983176,10879.568884723532
اهرم,17914401175772326,20220330,14010110,10700.0,11200.0,10900.0,11200.0,10750.0,10990.0,477.0,13065424.0,140515692560.0,0.9862385321100917,4.27480174010423,10729.850046860365
اهرم,17914401175772326,20220403,14010114,10960.0,11700.0,10750.0,10960.0,11410.0,11560.0,516.0,5974688.0,68161355050.0,1.0613953488372092,4.334450136477778,11388.612933458304
اهرم,17914401175772326,20220404,14010115,11400.0,11900.0,11410.0,11700.0,11620.0,11490.0,643.0,7229338.0,83972933790.0,1.01840490797546,4.083728217978625,11598.219306466735
اهرم,17914401175772326,20220405,14010116,11350.0,11740.0,11620.0,11450.0,11560.0,11600.0,505.0,8667442.0,100184140030.0,0.9948364888123924,4.009925900786241,11538.33177132147
اهرم,17914401175772326,20220406,14010117,11330.0,11790.0,11560.0,11790.0,11560.0,11330.0,326.0,3578647.0,41371828350.0,1.0,4.030738664977173,11538.33177132147
اهرم,17914401175772326,20220409,14010120,11200.0,11590.0,11560.0,11210.0,11370.0,11400.0,285.0,2951151.0,33543764880.0,0.9835640138408305,4.030738664977173,11348.687910028122
اهرم,17914401175772326,20220410,14010121,11420.0,11950.0,11370.0,11420.0,11750.0,11810.0,238.0,2442179.0,28692614440.0,1.0334212840809147,4.098094895966238,11727.975632614814
اهرم,17914401175772326,20220411,14010122,11610.0,11910.0,11750.0,11910.0,11770.0,11750.0,292.0,3047469.0,35865475630.0,1.0017021276595746,3.965560763160521,11747.938144329904
اهرم,17914401175772326,20220412,14010123,11100.0,11620.0,11770.0,11620.0,11280.0,11200.0,301.0,3237337.0,36501658450.0,0.9583687340696686,3.9588223421526014,11258.856607310223
اهرم,17914401175772326,20220413,14010124,11070.0,11670.0,11280.0,11120.0,11500.0,11580.0,399.0,6662213.0,76626231560.0,1.0195035460992907,4.130792461625543,11478.444236176201
اهرم,17914401175772326,20220416,14010127,11530.0,11980.0,11500.0,11600.0,11750.0,11790.0,318.0,4958614.0,58247441090.0,1.0217391304347827,4.051768605837924,11727.975632614816
اهرم,17914401175772326,20220417,14010128,11310.0,11920.0,11750.0,11820.0,11810.0,11850.0,356.0,6214397.0,73407319940.0,1.0051063829787235,3.9655607631605205,11787.863167760084
اهرم,17914401175772326,20220418,14010129,11880.0,12350.0,11810.0,11950.0,12220.0,12010.0,456.0,5066999.0,61894755570.0,1.0347163420829806,3.9454139684281215,12197.09465791941
اهرم,17914401175772326,20220419,14010130,11890.0,12390.0,12220.0,12150.0,12230.0,12250.0,379.0,7442342.0,91011864370.0,1.0008183306055647,3.8130391953466543,12207.075913776955
اهرم,17914401175772326,20220420,14010131,12080.0,12420.0,12230.0,12420.0,12210.0,12290.0,565.0,14063559.0,171647972340.0,0.9983646770237122,3.809921420043836,12187.113402061867
اهرم,17914401175772326,20220424,14010204,12140.0,12470.0,12210.0,12400.0,12240.0,12230.0,283.0,4263197.0,52162536730.0,1.0024570024570025,3.816162077570525,12217.057169634501
اهرم,17914401175772326,20220425,14010205,11910.0,12460.0,12240.0,11910.0,12250.0,12400.0,210.0,1583215.0,19393917060.0,1.0008169934640523,3.8068087391451066,12227.038425492046
اهرم,17914401175772326,20220426,14010206,12390.0,12750.0,12250.0,12450.0,12640.0,12640.0,477.0,7599524.0,96066899470.0,1.0318367346938775,3.803701140174376,12616.307403936282
اهرم,17914401175772326,20220427,14010207,12600.0,12940.0,12640.0,12890.0,12780.0,12730.0,432.0,3431379.0,43838562360.0,1.0110759493670887,3.686340108159502,12756.044985941906
اهرم,17914401175772326,20220430,14010210,12730.0,12960.0,12780.0,12730.0,12860.0,12800.0,324.0,3120728.0,40121791060.0,1.0062597809076683,3.6459576656601023,12835.895032802262
اهرم,17914401175772326,20220501,14010211,12830.0,13020.0,12860.0,12960.0,12920.0,12940.0,391.0,5382589.0,69566459780.0,1.0046656298600312,3.6232767470556846,12895.78256794753
اهرم,17914401175772326,20220502,14010212,12980.0,13450.0,12920.0,13290.0,13240.0,13450.0,378.0,5703151.0,75527498930.0,1.0247678018575852,3.6064503844532587,13215.182755388956
اهرم,17914401175772326,20220507,14010217,13450.0,14250.0,13240.0,13450.0,13990.0,14000.0,803.0,8099606.0,113277388290.0,1.0566465256797584,3.5192854204785573,13963.776944704796
اهرم,17914401175772326,20220508,14010218,13810.0,14000.0,13990.0,13990.0,13960.0,13980.0,507.0,4154860.0,58002681270.0,0.997855611150822,3.3306175101598354,13933.833177132163
اهرم,17914401175772326,20220509,14010219,13380.0,14040.0,13960.0,14040.0,13570.0,13400.0,559.0,3574223.0,48510746080.0,0.9720630372492837,3.337774997645852,13544.564198687925
اهرم,17914401175772326,20220510,14010220,13050.0,13600.0,13570.0,13470.0,13450.0,13400.0,629.0,8244948.0,110873455260.0,0.9911569638909359,3.4337022083372215,13424.789128397391
اهرم,17914401175772326,20220511,14010221,13430.0,14000.0,13450.0,13490.0,13800.0,14000.0,916.0,18585374.0,256486656750.0,1.0260223048327137,3.464337469675546,13774.133083411449
اهرم,17914401175772326,20220514,14010224,13880.0,14460.0,13800.0,14400.0,14150.0,14300.0,880.0,9392438.0,132872730080.0,1.0253623188405796,3.376473838198268,14123.477038425506
اهرم,17914401175772326,20220515,14010225,13970.0,14390.0,14150.0,14200.0,14140.0,14230.0,885.0,13725583.0,194023890040.0,0.9992932862190813,3.292956817465449,14113.495782567963
اهرم,17914401175772326,20220516,14010226,14250.0,14700.0,14140.0,14300.0,14440.0,14690.0,1194.0,30535203.0,440923886210.0,1.0212164073550212,3.2952856412401768,14412.9334582943
اهرم,17914401175772326,20220517,14010227,14480.0,15150.0,14440.0,14650.0,14860.0,14540.0,1724.0,23415289.0,348017082530.0,1.0290858725761773,3.2268240281950207,14832.14620431117
اهرم,17914401175772326,20220518,14010228,14430.0,14810.0,14860.0,14430.0,14680.0,14680.0,790.0,6320641.0,92813857720.0,0.9878869448183042,3.1356217339930077,14652.48359887537
اهرم,17914401175772326,20220521,14010231,14410.0,14890.0,14680.0,14580.0,14640.0,14770.0,619.0,5102688.0,74689908020.0,0.997275204359673,3.1740694119302515,14612.558575445191
اهرم,17914401175772326,20220522,14010301,14190.0,14790.0,14640.0,14770.0,14420.0,14370.0,1092.0,11102716.0,160132250510.0,0.9849726775956285,3.1827417327278753,14392.970946579211
اهرم,17914401175772326,20220523,14010302,13600.0,14790.0,14420.0,14240.0,14100.0,13890.0,1148.0,10036285.0,141526245340.0,0.9778085991678225,3.2312995122840564,14073.570759137787
اهرم,17914401175772326,20220524,14010303,13370.0,13930.0,14100.0,13930.0,13470.0,13440.0,1337.0,25878089.0,348455084720.0,0.9553191489361702,3.3046339693004323,13444.75164011248
اهرم,17914401175772326,20220525,14010304,13450.0,13720.0,13470.0,13510.0,13530.0,13680.0,1638.0,43173701.0,584334217230.0,1.0044543429844097,3.459193687240987,13504.639175257746
اهرم,17914401175772326,20220528,14010307,13300.0,13890.0,13530.0,13890.0,13580.0,13350.0,749.0,7536570.0,102365576190.0,1.0036954915003695,3.4438535821977903,13554.545454545469
اهرم,17914401175772326,20220529,14010308,12720.0,13210.0,13580.0,13210.0,13000.0,13200.0,1130.0,9837675.0,127910143280.0,0.9572901325478645,3.431173708920184,12975.632614807886
اهرم,17914401175772326,20220530,14010309,12890.0,13490.0,13000.0,13310.0,13080.0,13090.0,634.0,7989258.0,104537797200.0,1.0061538461538462,3.584256843625854,13055.482661668242
اهرم,17914401175772326,20220531,14010310,12950.0,13350.0,13080.0,13160.0,13170.0,13190.0,547.0,7463657.0,98279614040.0,1.0068807339449541,3.5623347834201913,13145.313964386143
اهرم,17914401175772326,20220601,14010311,12850.0,13390.0,13170.0,13170.0,13080.0,13010.0,475.0,6164881.0,80637952890.0,0.9931662870159453,3.5379908099571833,13055.482661668242
اهرم,17914401175772326,20220606,14010316,12220.0,13200.0,13080.0,13200.0,12540.0,12410.0,677.0,6920493.0,86754662340.0,0.9587155963302753,3.5623347834201913,12516.494845360838
اهرم,17914401175772326,20220607,14010317,12300.0,12770.0,12540.0,12770.0,12540.0,12350.0,514.0,6278517.0,78744544410.0,1.0,3.715736759739721,12516.494845360838
اهرم,17914401175772326,20220608,14010318,12420.0,12750.0,12540.0,12450.0,12570.0,12590.0,540.0,8283584.0,104144610510.0,1.0023923444976077,3.715736759739721,12546.438612933473
اهرم,17914401175772326,20220611,14010321,12020.0,12590.0,12570.0,12590.0,12250.0,12120.0,882.0,16835752.0,206170106690.0,0.9745425616547335,3.7068686529145665,12227.038425492046
اهرم,17914401175772326,20220612,14010322,12100.0,12850.0,12250.0,12120.0,12440.0,12730.0,1472.0,32058290.0,398789181350.0,1.0155102040816326,3.8037011401743754,12416.682286785393
اهرم,17914401175772326,20220613,14010323,12990.0,13450.0,12440.0,13010.0,13300.0,13300.0,2079.0,44582681.0,593050119280.0,1.0691318327974277,3.7456060262971143,13275.070290534224
اهرم,17914401175772326,20220614,14010324,13120.0,13440.0,13300.0,13430.0,13290.0,13190.0,1166.0,19794708.0,262988982060.0,0.9992481203007518,3.503408944897451,13265.08903467668
اهرم,17914401175772326,20220615,14010325,12910.0,13160.0,13290.0,13160.0,12950.0,12960.0,728.0,12266860.0,158906181180.0,0.9744168547780286,3.506045069009488,12925.726335520165
اهرم,17914401175772326,20220618,14010328,12620.0,13100.0,12950.0,12900.0,12760.0,12790.0,589.0,4959920.0,63270264050.0,0.9853281853281853,3.5980956731379226,12736.082474226818
اهرم,17914401175772326,20220619,14010329,12710.0,12920.0,12760.0,12750.0,12810.0,12750.0,402.0,2969343.0,38041257850.0,1.0039184952978057,3.6516723328476566,12785.988753514543
اهرم,17914401175772326,20220620,14010330,12790.0,13050.0,12810.0,12830.0,12930.0,12850.0,777.0,16597954.0,214541065250.0,1.009367681498829,3.6374191231175717,12905.763823805077
اهرم,17914401175772326,20220621,14010331,12600.0,12960.0,12930.0,12820.0,12740.0,12600.0,316.0,2457907.0,31316170670.0,0.9853054911059551,3.6036611730190327,12716.119962511732
اهرم,17914401175772326,20220622,14010401,12440.0,12640.0,12740.0,12560.0,12510.0,12530.0,520.0,5747023.0,71903404080.0,0.9819466248037677,3.6574049424753605,12486.551077788206
اهرم,17914401175772326,20220625,14010404,12150.0,12720.0,12510.0,12410.0,12350.0,12230.0,776.0,8313330.0,102684217640.0,0.9872102318145484,3.7246473994513263,12326.850984067494
اهرم,17914401175772326,20220626,14010405,11720.0,12230.0,12350.0,12230.0,11880.0,11840.0,811.0,9960170.0,118372651830.0,0.9619433198380567,3.7729019406587927,11857.731958762903
