date_str,shadow_S,shadow_gap
20251110,25604.0,1284.0
20251109,25308.0,58.0
20251108,27215.0,965.0
20251105,27290.0,850.0
20251104,28038.0,608.0
20251102,28761.0,1201.0
20251101,28488.0,978.0
20251028,28535.0,825.0
20260114,38826.0,-1584.0
20260113,41384.0,-696.0
20260112,42238.0,18.0
20260111,40426.0,-214.0
20260110,39242.0,-498.0
20260106,42193.0,3143.0
20260105,39516.0,1966.0
20260104,36596.0,486.0
20251231,37261.0,781.0
20251230,34494.0,-1956.0
20251229,37823.0,-117.0
20251228,38506.0,576.0
20251227,38156.0,1556.0
20251224,36688.0,1448.0
20251223,34356.0,426.0
20251222,33794.0,464.0
20251221,34001.0,511.0
20251220,33610.0,1070.0
20251217,31994.0,624.0
20251216,31936.0,266.0
20251215,31965.0,645.0
20251214,31139.0,779.0
20251213,30696.0,466.0
20251210,29913.0,523.0
20251209,29612.0,622.0
20251208,29574.0,694.0
20251207,29542.0,792.0
20251206,29649.0,599.0
20251203,28892.0,752.0
20251202,28770.0,760.0
20251201,28591.0,931.0
20251130,27796.0,1106.0
20251129,27790.0,1180.0
20251126,27802.0,1142.0
20251125,28121.0,1371.0
20251123,27115.0,1345.0
20251122,26244.0,1174.0
20251119,25994.0,1164.0
20251118,25811.0,1001.0
20251117,26226.0,626.0
20251116,26107.0,837.0
20251115,25660.0,830.0
20251112,25332.0,1002.0
20251111,25324.0,1174.0
20251110,25547.0,1227.0
20251109,25343.0,93.0
20251108,27100.0,850.0
20251105,27281.0,841.0
20251104,28185.0,755.0
20251103,29149.0,1049.0
20251102,29404.0,1844.0
20251029,29417.0,1707.0
20251028,28786.0,1076.0
20260114,38888.0,-1522.0
20260113,41163.0,-917.0
20260112,42276.0,56.0
20260111,40368.0,-272.0
20260110,39103.0,-637.0
20260106,42322.0,3272.0
20260105,39346.0,1796.0
20260104,36479.0,369.0
20251231,37234.0,754.0
20251230,34569.0,-1881.0
20251229,37658.0,-282.0
20251228,38599.0,669.0
20251227,38143.0,1543.0
20251224,36634.0,1394.0
20251223,34342.0,412.0
20251222,33828.0,498.0
20251221,34100.0,610.0
20251220,33601.0,1061.0
20251217,32119.0,749.0
20251216,32184.0,514.0
20251215,32118.0,798.0
20251214,31185.0,825.0
20251213,30697.0,467.0
20251210,30069.0,679.0
20251209,29677.0,687.0
20251208,29584.0,704.0
20251207,29611.0,861.0
20251206,29662.0,612.0
20251203,28887.0,747.0
20251202,28745.0,735.0
20251201,28666.0,1006.0
20251130,27870.0,1180.0
20251129,27841.0,1231.0
20251126,27827.0,1167.0
20251125,28085.0,1335.0
20251123,27163.0,1393.0
20251122,26241.0,1171.0
20251119,25990.0,1160.0
20251118,25796.0,986.0
20251117,26176.0,576.0
20251116,25939.0,669.0
20251115,25739.0,909.0
20251112,25350.0,1020.0
20251111,25295.0,1145.0
20251110,25531.0,1211.0
20251109,25314.0,64.0
20251108,27206.0,956.0
20251105,27139.0,699.0
20251104,27799.0,369.0
20251103,28807.0,707.0
20251102,28456.0,896.0
20251101,28424.0,914.0
20251026,24494.0,-1516.0
20251025,24600.0,-890.0
20251018,28770.0,3360.0
20251007,25313.0,1433.0
20251005,24106.0,1616.0
20251004,25927.0,4297.0
20260114,38889.0,-1521.0
20260113,41542.0,-538.0
20260112,42368.0,148.0
20260111,40451.0,-189.0
20260110,38410.0,-1330.0
20260106,42447.0,3397.0
20260105,39467.0,1917.0
20260104,36627.0,517.0
20251231,37413.0,933.0
20251230,34692.0,-1758.0
20251229,37785.0,-155.0
20251228,38824.0,894.0
20251227,38315.0,1715.0
20251224,36490.0,1250.0
20251223,34377.0,447.0
20251222,33776.0,446.0
20251221,34096.0,606.0
20251220,33684.0,1144.0
20251217,32216.0,846.0
20251216,32054.0,384.0
20251215,31954.0,634.0
20251214,31012.0,652.0
20251213,30799.0,569.0
20251210,30064.0,674.0
20251209,29708.0,718.0
20251208,29668.0,788.0
20251207,29561.0,811.0
20251206,29760.0,710.0
20251203,28944.0,804.0
20251202,28794.0,784.0
20251201,28708.0,1048.0
20251130,27918.0,1228.0
20251129,27804.0,1194.0
20251126,27816.0,1156.0
20251125,28107.0,1357.0
20251123,27308.0,1538.0
20251122,26283.0,1213.0
20251119,26134.0,1304.0
20251118,25820.0,1010.0
