moneyness,iv,option_type,maturity_bucket
1.282,1.2139936278232706,call,medium
1.245,1.0038310759746878,call,medium
1.2105,0.8937353549883342,call,medium
1.2445,0.8892925844264175,call,medium
1.2475,0.9051863101235462,call,medium
1.24,0.8851957137199327,call,medium
1.231,0.8267935476127978,call,medium
1.1277272727272727,0.5604177603271069,call,medium
1.1390909090909092,0.8195056195848701,call,medium
1.1063636363636364,1.1764073839503766,call,medium
1.0745454545454545,0.8230737920698254,call,medium
1.0854545454545454,0.6302965684033295,call,medium
1.1136363636363635,0.7861212287615859,call,medium
1.1245454545454545,0.7621467325495662,call,medium
1.1590909090909092,0.7460943131051464,call,medium
1.1845454545454546,0.9013953746281235,call,medium
1.2031818181818181,0.9073897565052864,call,medium
1.2259090909090908,0.6312215173336361,call,medium
1.2636363636363637,0.981406191476205,call,medium
1.2377272727272728,0.9301998928510217,call,medium
1.219090909090909,0.9246595339207612,call,medium
1.1995454545454545,1.0107044088571022,call,medium
1.1654545454545455,1.0601860653735178,call,medium
1.1318181818181818,0.9088359110605495,call,medium
1.1004545454545454,0.8553700757426065,call,medium
1.1313636363636363,0.7699158269376428,call,medium
1.134090909090909,0.8128485334999122,call,medium
1.1272727272727272,0.7588581547860709,call,medium
1.1190909090909091,0.8095718902972074,call,medium
1.03375,0.5406648282087548,call,medium
1.0441666666666667,0.6731910045959104,call,medium
1.0141666666666667,0.9943806330043148,call,medium
0.985,0.7960666583378582,call,medium
0.995,0.6681605571571423,call,medium
1.0208333333333333,0.7952371188428602,call,medium
1.0308333333333333,0.7395231147647597,call,medium
1.0625,0.7152919351531306,call,medium
1.0858333333333334,0.8355080512936981,call,medium
1.1029166666666668,0.8339208199934984,call,medium
1.12375,0.6150555933039293,call,medium
1.1583333333333334,0.8420650305058028,call,medium
1.1345833333333333,0.802347835588134,call,medium
1.1175,0.800544636686741,call,medium
1.0995833333333334,0.8861240806553619,call,medium
1.0683333333333334,0.9026101419026684,call,medium
1.0375,0.8620897871790729,call,medium
1.00875,0.8878239238376547,call,medium
1.0370833333333334,0.7797780121154716,call,medium
1.0395833333333333,0.782816886672846,call,medium
1.0333333333333334,0.7332918702004283,call,medium
1.0258333333333334,0.6878952660763759,call,medium
0.9542307692307692,0.5643323533031752,call,medium
0.9638461538461538,0.6439181134105176,call,medium
0.9361538461538461,0.9133680021675792,call,medium
0.9092307692307692,0.8155906540168243,call,medium
0.9184615384615384,0.7254613459406233,call,medium
0.9423076923076923,0.8036307555066616,call,medium
0.9515384615384616,0.7646988956021662,call,medium
0.9807692307692307,0.7539131297674074,call,medium
1.0023076923076923,0.842267413256877,call,medium
1.018076923076923,0.819171201241646,call,medium
1.0373076923076923,0.6323099865064801,call,medium
1.0692307692307692,0.7823594297745414,call,medium
1.0473076923076923,0.7535844672754525,call,medium
1.0315384615384615,0.7493445719589694,call,medium
1.015,0.8013443491843238,call,medium
0.9861538461538462,0.8109957309168259,call,medium
0.9576923076923077,0.8175532632730553,call,medium
0.9311538461538461,0.8622018365753429,call,medium
0.9573076923076923,0.7721434846659411,call,medium
0.9596153846153846,0.7749358444709143,call,medium
0.9538461538461539,0.7374232308124149,call,medium
0.946923076923077,0.5881862686898014,call,medium
0.8860714285714286,0.5671604838172023,call,medium
0.895,0.6280833477905023,call,medium
0.8692857142857143,0.8290910409670585,call,medium
0.8442857142857143,0.7904771132934985,call,medium
0.8528571428571429,0.7279666480750088,call,medium
0.875,0.774508596226544,call,medium
0.8835714285714286,0.7348139832180136,call,medium
0.9107142857142857,0.7231131305291167,call,medium
0.9307142857142857,0.8016482603829109,call,medium
0.9453571428571429,0.7613373984270805,call,medium
0.9632142857142857,0.6006025923718034,call,medium
0.9928571428571429,0.7147020709453628,call,medium
0.9725,0.6728357259985468,call,medium
0.9578571428571429,0.6854431653090337,call,medium
0.9425,0.6988476315879941,call,medium
0.9157142857142857,0.727393623522564,call,medium
0.8892857142857142,0.7515827056342882,call,medium
0.8646428571428572,0.7944715797186633,call,medium
0.8889285714285714,0.7516371264752754,call,medium
0.8910714285714286,0.7504841306148691,call,medium
0.8857142857142857,0.8027422648527887,call,medium
0.8792857142857143,0.603729290179644,call,medium
0.827,0.46936795402631243,call,medium
0.8353333333333334,0.5623665801287511,call,medium
0.8113333333333334,0.726057109377027,call,medium
0.788,0.7362521651499927,call,medium
0.796,0.7035094767806879,call,medium
0.8166666666666667,0.7681695800277442,call,medium
0.8246666666666667,0.707471888043035,call,medium
0.85,0.6959243504383288,call,medium
0.8686666666666667,0.7413339270007047,call,medium
0.8823333333333333,0.7155167278300887,call,medium
0.899,0.5775879402491219,call,medium
0.9266666666666666,0.6728998241103576,call,medium
0.9076666666666666,0.620158750892917,call,medium
0.894,0.6203298680335384,call,medium
0.8796666666666667,0.626793569882289,call,medium
0.8546666666666667,0.6571646309802505,call,medium
0.83,0.6560403149110828,call,medium
0.807,0.6735779001308319,call,medium
0.8296666666666667,0.6869773420581259,call,medium
0.8316666666666667,0.6742929085361357,call,medium
0.8266666666666667,0.6728489206426723,call,medium
0.7297058823529412,0.53102186352291,call,medium
0.7370588235294118,0.5515492484569421,call,medium
0.7158823529411765,0.7117168873364278,call,medium
0.6952941176470588,0.7197832692372267,call,medium
0.7023529411764706,0.6942943706629134,call,medium
0.7205882352941176,0.6740816573470203,call,medium
0.7276470588235294,0.6548884697257553,call,medium
0.75,0.6128757384365325,call,medium
0.7664705882352941,0.6035394070994702,call,medium
0.7785294117647059,0.6063904941697161,call,medium
0.793235294117647,0.5525468892695296,call,medium
0.8176470588235294,0.5745144432115173,call,medium
0.8008823529411765,0.5471539301843649,call,medium
0.7888235294117647,0.5286990106766535,call,medium
0.7761764705882352,0.5426285495643121,call,medium
0.7541176470588236,0.5745060115401812,call,medium
0.7323529411764705,0.6047889253214364,call,medium
0.7120588235294117,0.6557826615522102,call,medium
0.7320588235294118,0.7310474623062798,call,medium
0.7338235294117647,0.7283876873575316,call,medium
2.6354545454545453,2.262709956008298,call,medium
2.6254545454545455,1.7118980293975088,call,medium
2.6136363636363638,1.6658112388639297,call,medium
2.558181818181818,1.7785871415929795,call,medium
2.5463636363636364,1.069220862846312,call,medium
2.5145454545454546,1.8176933281582464,call,medium
2.4263636363636363,1.3401403342114298,call,medium
2.4318181818181817,1.8558721767853121,call,medium
2.3427272727272728,1.9770100818189018,call,medium
2.2790909090909093,1.7308108079621851,call,medium
2.2572727272727273,1.8684775554833657,call,medium
2.2554545454545454,1.4129772774589888,call,medium
2.2972727272727274,1.7152073884526975,call,medium
2.4491666666666667,1.4329557280975416,call,medium
2.4158333333333335,1.5636037124588553,call,medium
2.4066666666666667,1.5173471831929086,call,medium
2.305,2.8703750404717483,call,medium
2.2241666666666666,1.5556556763969682,call,medium
2.2216666666666667,2.0945517392782596,call,medium
2.2291666666666665,1.909617706906358,call,medium
2.1475,1.74156747243468,call,medium
2.089166666666667,1.731417762222952,call,medium
2.0675,1.2683320731534755,call,medium
2.1058333333333334,1.7443635094028533,call,medium
2.335384615384615,1.0270387475899652,call,medium
2.2346153846153847,1.5507884142603976,call,medium
2.1276923076923078,1.5260609735505803,call,medium
2.0530769230769232,1.8645373599980493,call,medium
2.0507692307692307,1.8477598804957993,call,medium
2.0576923076923075,1.9820716848758602,call,medium
1.9823076923076923,1.6954686327489774,call,medium
1.9284615384615384,1.6689822476987362,call,medium
1.91,1.6183028231557,call,medium
1.9692307692307693,1.314340152982506,call,medium
2.1685714285714286,2.1324408574976883,call,medium
2.1592857142857143,2.0313912761803175,call,medium
2.099285714285714,1.7501268715304057,call,medium
2.0628571428571427,1.6357924808640691,call,medium
2.0535714285714284,1.4588691883621607,call,medium
2.075,1.6777020776528162,call,medium
2.01,1.349871385133581,call,medium
2.000714285714286,1.4970976072998843,call,medium
1.9757142857142858,1.662476931596744,call,medium
1.9064285714285714,1.5499932311625972,call,medium
1.9007142857142858,1.3228533071747446,call,medium
1.9042857142857144,1.2147875873373115,call,medium
1.9107142857142858,1.592483451197144,call,medium
1.8407142857142857,1.5256145545715536,call,medium
1.7907142857142857,1.4225121431188585,call,medium
1.7735714285714286,1.3083373848412336,call,medium
1.8285714285714285,1.07380676914071,call,medium
1.805,1.34674729653846,call,medium
2.088,2.010437499768055,call,medium
1.9253333333333333,1.1679165973622398,call,medium
1.9166666666666667,1.373576182759912,call,medium
1.9366666666666668,1.413163831287346,call,medium
1.876,1.2324110308768257,call,medium
1.8673333333333333,1.5615363932113997,call,medium
1.844,1.3366604953594985,call,medium
