shadow_S,shadow_gap
29698.0,-272.0
30850.0,30.0
31467.0,-23.0
31453.0,163.0
31233.0,-177.0
31283.0,193.0
31236.0,1036.0
29875.0,545.0
30109.0,189.0
31364.0,584.0
30280.0,390.0
29902.0,102.0
29960.0,-360.0
30315.0,-935.0
32733.0,523.0
31773.0,463.0
31831.0,221.0
32362.0,262.0
33480.0,400.0
33165.0,785.0
32845.0,945.0
33183.0,2063.0
34356.0,4116.0
30788.0,1428.0
29408.0,878.0
29644.0,1284.0
29764.0,2224.0
27682.0,942.0
27023.0,1033.0
27592.0,2332.0
25396.0,866.0
25684.0,434.0
26862.0,1112.0
26666.0,1336.0
25960.0,1230.0
25754.0,884.0
25872.0,1082.0
24304.0,234.0
25996.0,1186.0
26691.0,1631.0
28600.0,-480.0
29447.0,-523.0
30839.0,19.0
31283.0,-207.0
31106.0,-184.0
31339.0,-71.0
31219.0,129.0
31113.0,913.0
29551.0,221.0
29984.0,64.0
31173.0,393.0
30457.0,567.0
