shadow_S,shadow_gap
27139.0,699.0
27799.0,369.0
28807.0,707.0
28456.0,896.0
28424.0,914.0
24494.0,-1516.0
24600.0,-890.0
28770.0,3360.0
25313.0,1433.0
24106.0,1616.0
25927.0,4297.0
38889.0,-1521.0
41542.0,-538.0
42368.0,148.0
40451.0,-189.0
38410.0,-1330.0
42447.0,3397.0
39467.0,1917.0
36627.0,517.0
37413.0,933.0
34692.0,-1758.0
37785.0,-155.0
38824.0,894.0
38315.0,1715.0
36490.0,1250.0
34377.0,447.0
33776.0,446.0
34096.0,606.0
33684.0,1144.0
32216.0,846.0
32054.0,384.0
31954.0,634.0
31012.0,652.0
30799.0,569.0
30064.0,674.0
29708.0,718.0
29668.0,788.0
29561.0,811.0
29760.0,710.0
28944.0,804.0
28794.0,784.0
28708.0,1048.0
27918.0,1228.0
27804.0,1194.0
27816.0,1156.0
28107.0,1357.0
27308.0,1538.0
26283.0,1213.0
26134.0,1304.0
25820.0,1010.0
26118.0,518.0
26087.0,817.0
25668.0,838.0
25506.0,1176.0
25263.0,1113.0
25491.0,1171.0
25250.0,0.0
27123.0,873.0
27284.0,844.0
28016.0,586.0
29004.0,904.0
39083.0,-1327.0
41470.0,-610.0
42387.0,167.0
40385.0,-255.0
39173.0,-567.0
42198.0,3148.0
39411.0,1861.0
36658.0,548.0
36945.0,465.0
34834.0,-1616.0
37628.0,-312.0
38722.0,792.0
38319.0,1719.0
36565.0,1325.0
34447.0,517.0
33850.0,520.0
34178.0,688.0
33951.0,1411.0
32430.0,1060.0
32140.0,470.0
32252.0,932.0
31478.0,1118.0
30811.0,581.0
30294.0,904.0
29613.0,623.0
29578.0,698.0
29645.0,895.0
29698.0,648.0
28902.0,762.0
28744.0,734.0
28530.0,870.0
27921.0,1231.0
27770.0,1160.0
27664.0,1004.0
28157.0,1407.0
27269.0,1499.0
26035.0,965.0
25369.0,539.0
25090.0,280.0
25317.0,987.0
24636.0,486.0
24937.0,617.0
25110.0,-140.0
26536.0,286.0
27709.0,1269.0
39119.0,-1291.0
41667.0,-413.0
42443.0,223.0
40590.0,-50.0
39713.0,-27.0
42174.0,3124.0
39666.0,2116.0
36872.0,762.0
38045.0,1565.0
36754.0,304.0
39011.0,1071.0
39704.0,1774.0
38408.0,1808.0
36840.0,1600.0
34739.0,809.0
33228.0,-102.0
39679.0,-731.0
41811.0,-269.0
42670.0,450.0
40813.0,173.0
40360.0,620.0
42548.0,3498.0
39681.0,2131.0
36811.0,701.0
38267.0,1787.0
35935.0,-515.0
38035.0,95.0
39151.0,1221.0
38325.0,1725.0
36537.0,1297.0
34267.0,337.0
33164.0,-166.0
39812.0,-598.0
41870.0,-210.0
42521.0,301.0
40478.0,-162.0
40278.0,-132.0
41356.0,-724.0
42391.0,171.0
29022.0,-828.0
30058.0,-462.0
30023.0,-337.0
31222.0,-1088.0
30558.0,-2602.0
35498.0,1078.0
34589.0,909.0
31165.0,-205.0
30672.0,-658.0
33917.0,1947.0
33312.0,72.0
29537.0,-5083.0
29852.0,-6208.0
40747.0,-573.0
41944.0,334.0
38744.0,-1666.0
42619.0,539.0
40115.0,375.0
42975.0,3925.0
40317.0,2767.0
38015.0,1905.0
34804.0,-1646.0
29102.0,-748.0
30229.0,-291.0
30153.0,-207.0
26999.0,-5311.0
31481.0,-609.0
31002.0,-2158.0
29498.0,-1872.0
29559.0,-1771.0
33071.0,-169.0
29205.0,-5415.0
42021.0,411.0
42990.0,5440.0
35978.0,-132.0
36987.0,1747.0
29406.0,-444.0
30299.0,-221.0
30242.0,-118.0
31054.0,-2106.0
28960.0,-2370.0
32466.0,496.0
32131.0,-1109.0
28191.0,-6429.0
41064.0,654.0
44076.0,5026.0
36349.0,-131.0
28948.0,-902.0
30223.0,-137.0
46531.0,7481.0
36125.0,-355.0
32386.0,1066.0
28710.0,-1520.0
29418.0,-432.0
29947.0,-573.0
30154.0,-206.0
34901.0,1221.0
29230.0,-2100.0
28934.0,-5686.0
38771.0,1221.0
36881.0,1641.0
34239.0,309.0
32361.0,1041.0
31343.0,1113.0
29177.0,-673.0
29897.0,-623.0
30123.0,-237.0
29998.0,-2312.0
31552.0,-538.0
31202.0,-1958.0
34642.0,962.0
31204.0,-126.0
32374.0,404.0
30919.0,-2321.0
29480.0,-5140.0
41937.0,327.0
37950.0,1470.0
33875.0,1335.0
32437.0,1117.0
31424.0,1194.0
27757.0,1067.0
27758.0,1148.0
28301.0,1551.0
27359.0,2089.0
27129.0,879.0
23542.0,1912.0
22159.0,1359.0
22400.0,1940.0
29462.0,-388.0
30097.0,-423.0
30324.0,-36.0
30008.0,-1082.0
31709.0,-601.0
32057.0,-33.0
31492.0,-1668.0
33495.0,-925.0
34793.0,1113.0
32975.0,415.0
30638.0,-732.0
29674.0,-1656.0
33443.0,1473.0
30480.0,-2760.0
29677.0,-4943.0
32900.0,-3160.0
32840.0,-4720.0
41245.0,-75.0
41538.0,-72.0
39385.0,-1025.0
41928.0,-152.0
43015.0,795.0
41064.0,424.0
41636.0,1896.0
42913.0,3863.0
40190.0,2640.0
37126.0,1016.0
37527.0,1047.0
35537.0,-913.0
37985.0,45.0
39829.0,1899.0
39470.0,2870.0
36544.0,1304.0
35244.0,1314.0
34058.0,728.0
31201.0,971.0
30061.0,1071.0
28863.0,1203.0
28541.0,1931.0
28629.0,1879.0
27447.0,1197.0
24001.0,-299.0
22133.0,503.0
22587.0,2127.0
29452.0,-398.0
30510.0,-10.0
30287.0,-73.0
31974.0,-336.0
32152.0,62.0
31349.0,-1811.0
35560.0,1880.0
32185.0,-205.0
30965.0,-405.0
30641.0,-689.0
32792.0,822.0
32628.0,-612.0
29825.0,-4795.0
35329.0,-2231.0
