moneyness_bucket,parity_basis
atm,4269.0
deep_itm,-1481.0
deep_itm,-722.0
deep_itm,71.0
deep_itm,-178.0
deep_itm,-484.0
deep_itm,501.0
deep_itm,3225.0
deep_itm,1920.0
deep_itm,105.0
deep_itm,554.0
deep_itm,-2403.0
deep_itm,-142.0
deep_itm,783.0
deep_itm,1241.0
deep_itm,984.0
deep_itm,290.0
deep_itm,662.0
deep_itm,476.0
deep_itm,927.0
deep_itm,584.0
deep_itm,288.0
deep_itm,543.0
deep_itm,737.0
deep_itm,482.0
deep_itm,456.0
deep_itm,496.0
deep_itm,570.0
deep_itm,587.0
deep_itm,589.0
deep_itm,664.0
deep_itm,756.0
deep_itm,912.0
deep_itm,977.0
deep_itm,984.0
deep_itm,1040.0
deep_itm,1271.0
deep_itm,1162.0
itm,1110.0
itm,1061.0
itm,977.0
deep_itm,678.0
itm,804.0
itm,870.0
itm,1096.0
itm,1207.0
itm,1241.0
itm,135.0
deep_itm,1023.0
deep_itm,923.0
deep_itm,79.0
itm,-406.0
deep_itm,-1510.0
deep_itm,-929.0
deep_itm,14.0
deep_itm,-276.0
deep_itm,-390.0
deep_itm,648.0
deep_itm,3137.0
deep_itm,1855.0
deep_itm,275.0
deep_itm,213.0
deep_itm,-2040.0
deep_itm,99.0
deep_itm,734.0
deep_itm,1646.0
deep_itm,1475.0
deep_itm,592.0
deep_itm,439.0
deep_itm,547.0
deep_itm,977.0
deep_itm,567.0
deep_itm,314.0
deep_itm,452.0
deep_itm,630.0
deep_itm,353.0
deep_itm,421.0
deep_itm,607.0
deep_itm,657.0
deep_itm,616.0
deep_itm,606.0
deep_itm,702.0
deep_itm,780.0
deep_itm,935.0
itm,1057.0
itm,1105.0
itm,1072.0
itm,1358.0
itm,1294.0
atm,1180.0
atm,1137.0
atm,1009.0
itm,724.0
itm,756.0
atm,846.0
atm,1034.0
atm,1211.0
atm,1284.0
itm,58.0
itm,965.0
itm,850.0
itm,608.0
itm,1201.0
itm,978.0
deep_itm,825.0
deep_itm,-1584.0
deep_itm,-696.0
deep_itm,18.0
deep_itm,-214.0
deep_itm,-498.0
deep_itm,718.0
deep_itm,3143.0
deep_itm,1966.0
deep_itm,486.0
deep_itm,781.0
deep_itm,-1956.0
deep_itm,-117.0
deep_itm,576.0
deep_itm,1556.0
deep_itm,1448.0
deep_itm,426.0
deep_itm,464.0
deep_itm,511.0
deep_itm,1070.0
deep_itm,624.0
deep_itm,266.0
deep_itm,645.0
deep_itm,779.0
deep_itm,466.0
itm,523.0
itm,622.0
itm,694.0
itm,792.0
itm,599.0
itm,752.0
itm,760.0
itm,931.0
atm,1106.0
atm,1180.0
atm,1142.0
atm,1371.0
atm,1345.0
atm,1174.0
atm,1164.0
atm,1001.0
atm,626.0
atm,837.0
atm,830.0
otm,1002.0
otm,1174.0
otm,1227.0
atm,93.0
atm,850.0
atm,841.0
itm,755.0
itm,1049.0
itm,1844.0
itm,1707.0
itm,1076.0
deep_itm,-1522.0
deep_itm,-917.0
deep_itm,56.0
deep_itm,-272.0
deep_itm,-637.0
deep_itm,827.0
deep_itm,3272.0
deep_itm,1796.0
deep_itm,369.0
deep_itm,754.0
deep_itm,-1881.0
deep_itm,-282.0
deep_itm,669.0
deep_itm,1543.0
deep_itm,1394.0
deep_itm,412.0
deep_itm,498.0
deep_itm,610.0
deep_itm,1061.0
itm,749.0
itm,514.0
itm,798.0
itm,825.0
itm,467.0
atm,679.0
atm,687.0
atm,704.0
atm,861.0
atm,612.0
atm,747.0
atm,735.0
atm,1006.0
atm,1180.0
atm,1231.0
atm,1167.0
atm,1335.0
otm,1393.0
otm,1171.0
otm,1160.0
otm,986.0
otm,576.0
otm,669.0
otm,909.0
otm,1020.0
otm,1145.0
otm,1211.0
otm,64.0
otm,956.0
otm,699.0
atm,369.0
atm,707.0
atm,896.0
atm,914.0
otm,-1516.0
otm,-890.0
otm,3360.0
otm,1433.0
deep_otm,1616.0
deep_otm,4297.0
deep_itm,-1521.0
deep_itm,-538.0
deep_itm,148.0
deep_itm,-189.0
deep_itm,-1330.0
deep_itm,884.0
deep_itm,3397.0
deep_itm,1917.0
deep_itm,517.0
deep_itm,933.0
deep_itm,-1758.0
deep_itm,-155.0
deep_itm,894.0
deep_itm,1715.0
deep_itm,1250.0
itm,447.0
itm,446.0
itm,606.0
itm,1144.0
atm,846.0
itm,384.0
atm,634.0
atm,652.0
atm,569.0
atm,674.0
atm,718.0
atm,788.0
atm,811.0
atm,710.0
otm,804.0
otm,784.0
otm,1048.0
otm,1228.0
otm,1194.0
otm,1156.0
otm,1357.0
otm,1538.0
deep_otm,1213.0
deep_otm,1304.0
deep_otm,1010.0
otm,518.0
deep_otm,817.0
deep_otm,838.0
deep_otm,1176.0
deep_otm,1113.0
deep_otm,1171.0
deep_otm,0.0
otm,873.0
otm,844.0
otm,586.0
otm,904.0
deep_itm,-1327.0
deep_itm,-610.0
deep_itm,167.0
deep_itm,-255.0
deep_itm,-567.0
deep_itm,1334.0
itm,3148.0
itm,1861.0
itm,548.0
itm,465.0
itm,-1616.0
itm,-312.0
itm,792.0
itm,1719.0
atm,1325.0
atm,517.0
atm,520.0
atm,688.0
atm,1411.0
otm,1060.0
otm,470.0
otm,932.0
otm,1118.0
otm,581.0
otm,904.0
otm,623.0
deep_otm,698.0
deep_otm,895.0
otm,648.0
deep_otm,762.0
deep_otm,734.0
deep_otm,870.0
deep_otm,1231.0
deep_otm,1160.0
deep_otm,1004.0
deep_otm,1407.0
deep_otm,1499.0
deep_otm,965.0
deep_otm,539.0
deep_otm,280.0
deep_otm,987.0
deep_otm,486.0
deep_otm,617.0
deep_otm,-140.0
deep_otm,286.0
deep_otm,1269.0
itm,-1291.0
itm,-413.0
itm,223.0
itm,-50.0
atm,-27.0
itm,1364.0
atm,3124.0
atm,2116.0
atm,762.0
atm,1565.0
atm,304.0
atm,1071.0
atm,1774.0
atm,1808.0
otm,1600.0
otm,809.0
otm,-102.0
atm,-731.0
atm,-269.0
atm,450.0
atm,173.0
otm,620.0
atm,1229.0
otm,3498.0
otm,2131.0
otm,701.0
otm,1787.0
otm,-515.0
otm,95.0
otm,1221.0
otm,1725.0
deep_otm,1297.0
deep_otm,337.0
deep_otm,-166.0
otm,-598.0
otm,-210.0
otm,301.0
otm,-162.0
deep_otm,-132.0
deep_otm,-724.0
deep_otm,171.0
deep_itm,-828.0
deep_itm,-462.0
deep_itm,-337.0
deep_itm,-1088.0
deep_itm,-2602.0
deep_itm,1078.0
deep_itm,909.0
deep_itm,-205.0
deep_itm,-658.0
deep_itm,1947.0
deep_itm,72.0
deep_itm,-5083.0
deep_itm,-6208.0
deep_itm,-573.0
deep_itm,334.0
deep_itm,-1666.0
deep_itm,539.0
deep_itm,375.0
deep_itm,-29.0
deep_itm,3925.0
deep_itm,2767.0
deep_itm,1905.0
deep_itm,-1646.0
deep_itm,-748.0
deep_itm,-291.0
deep_itm,-207.0
deep_itm,-5311.0
deep_itm,-609.0
deep_itm,-2158.0
deep_itm,-1872.0
deep_itm,-1771.0
deep_itm,-169.0
deep_itm,-5415.0
deep_itm,411.0
deep_itm,483.0
deep_itm,5440.0
deep_itm,-132.0
deep_itm,1747.0
deep_itm,-444.0
deep_itm,-221.0
deep_itm,-118.0
deep_itm,-2106.0
deep_itm,-2370.0
deep_itm,496.0
deep_itm,-1109.0
deep_itm,-6429.0
deep_itm,654.0
deep_itm,5026.0
deep_itm,-131.0
deep_itm,-902.0
deep_itm,-137.0
deep_itm,7481.0
deep_itm,-355.0
deep_itm,1066.0
deep_itm,-1520.0
deep_itm,-432.0
deep_itm,-573.0
deep_itm,-206.0
deep_itm,1221.0
deep_itm,-2100.0
deep_itm,-5686.0
deep_itm,1221.0
deep_itm,1641.0
deep_itm,309.0
deep_itm,1041.0
deep_itm,1113.0
deep_itm,-673.0
deep_itm,-623.0
deep_itm,-237.0
deep_itm,-2312.0
deep_itm,-538.0
deep_itm,-1958.0
deep_itm,962.0
deep_itm,-126.0
deep_itm,404.0
deep_itm,-2321.0
deep_itm,-5140.0
deep_itm,327.0
deep_itm,1470.0
deep_itm,1335.0
deep_itm,1117.0
deep_itm,1194.0
deep_itm,1067.0
deep_itm,1148.0
deep_itm,1551.0
deep_itm,2089.0
deep_itm,879.0
deep_itm,1912.0
deep_itm,1359.0
itm,1940.0
deep_itm,-388.0
deep_itm,-423.0
deep_itm,-36.0
deep_itm,-1082.0
deep_itm,-601.0
deep_itm,-33.0
deep_itm,-1668.0
deep_itm,-925.0
deep_itm,1113.0
deep_itm,415.0
deep_itm,-732.0
deep_itm,-1656.0
deep_itm,1473.0
deep_itm,-2760.0
deep_itm,-4943.0
deep_itm,-3160.0
deep_itm,-4720.0
deep_itm,-75.0
deep_itm,-72.0
deep_itm,-1025.0
deep_itm,-152.0
deep_itm,795.0
deep_itm,424.0
deep_itm,1896.0
deep_itm,2170.0
deep_itm,3863.0
deep_itm,2640.0
deep_itm,1016.0
deep_itm,1047.0
deep_itm,-913.0
deep_itm,45.0
deep_itm,1899.0
deep_itm,2870.0
deep_itm,1304.0
deep_itm,1314.0
deep_itm,728.0
deep_itm,971.0
deep_itm,1071.0
deep_itm,1203.0
deep_itm,1931.0
deep_itm,1879.0
deep_itm,1197.0
deep_itm,-299.0
itm,503.0
atm,2127.0
deep_itm,-398.0
deep_itm,-10.0
deep_itm,-73.0
deep_itm,-336.0
deep_itm,62.0
deep_itm,-1811.0
deep_itm,1880.0
deep_itm,-205.0
deep_itm,-405.0
deep_itm,-689.0
deep_itm,822.0
deep_itm,-612.0
deep_itm,-4795.0
deep_itm,-2231.0
deep_itm,708.0
deep_itm,-1975.0
deep_itm,313.0
deep_itm,-1073.0
deep_itm,-92.0
deep_itm,987.0
deep_itm,1901.0
