days_to_expiry,option_type,mean_iv,n
49,put,0.6836614647985096,88
50,call,0.9831637836560443,122
50,put,0.6984295460443523,90
51,call,1.1195040700264576,90
51,put,0.7103418351603996,68
52,call,1.1592975176086522,133
52,put,0.6236221461933402,85
53,call,1.115941869655193,139
53,put,0.6320937242408035,85
54,call,0.8986490326497302,10
54,put,0.36163473006042957,4
55,call,0.7907235556328003,9
55,put,0.35520664025063187,4
56,call,0.965596236014823,120
56,put,0.607422964181919,65
57,call,0.9566013005186776,129
57,put,0.6106896536922299,74
58,call,1.0382229608606666,108
58,put,0.6479174316225331,56
59,call,1.1116800594891583,97
59,put,0.6851654900933204,58
60,call,1.0560275253604712,121
60,put,0.6910318475424445,77
61,call,1.057691573211216,11
61,put,0.5180650357859251,7
62,call,1.0172277245324273,11
62,put,0.5476204175530095,6
63,call,1.071035923169209,111
63,put,0.685806229878749,58
64,call,0.9649129451191728,127
64,put,0.6609252629834426,62
65,call,1.0857159615871637,101
65,put,0.66868080513531,57
66,call,1.0321521424247846,108
66,put,0.6402467929444738,53
67,call,1.0740724854331904,110
67,put,0.6515634642945646,63
68,call,1.1572377007044916,11
68,put,0.4673264258197717,5
69,call,1.3251914963193383,11
69,put,0.3898087187546923,5
70,call,1.0583854494214204,123
70,put,0.5943963585860196,57
71,call,0.9663286958179793,137
71,put,0.6277970895982876,55
72,call,0.9222394743741708,114
72,put,0.6767691625612754,40
73,call,0.896266371499448,94
73,put,0.6321337144129184,38
74,call,0.9435826281931353,108
74,put,0.5907744140714816,38
75,call,0.8814856595508139,11
75,put,0.47276586979167806,3
76,call,1.0099273281118455,11
76,put,0.3696357410470102,3
77,call,0.9836629505270087,108
77,put,0.5424893738877623,23
78,call,0.9151732371377926,104
78,put,0.6095248717147229,28
79,call,0.9685238495576606,80
79,put,0.6026135339401343,24
80,call,0.9666660882876219,93
80,put,0.6186516216551415,23
81,call,0.9554644101994797,101
81,put,0.6198176540009515,23
82,call,1.0388289156850077,10
82,put,0.17966607725839423,1
83,call,0.7134508206305331,9
83,put,0.22317226228289827,2
84,call,0.8789090487464201,123
84,put,0.5303002606580912,32
85,call,0.8733811030201543,119
85,put,0.5122928086515255,45
86,call,0.8971554795108491,101
86,put,0.5247422921168009,30
87,call,0.9433571382359033,100
87,put,0.5177542490782971,41
88,call,0.8557258936782327,98
88,put,0.6459758547096035,40
91,call,0.8403192856257523,111
91,put,0.4889980176857799,30
92,call,0.8354805923457108,115
92,put,0.45564233704679097,30
93,call,0.87613899024252,98
93,put,0.5220789727809528,28
94,call,0.9206847180539408,104
94,put,0.5274371504366625,29
95,call,0.9104805564364428,96
95,put,0.5613944541046642,28
96,call,0.8031442716096067,7
96,put,0.2928750947543767,1
98,call,0.9285464425402182,62
98,put,0.4796505985287455,5
99,call,0.9458890526663797,101
99,put,0.5270909305623873,24
100,call,0.8446273409419475,85
100,put,0.6414061485841113,25
101,call,0.8513689813304481,98
101,put,0.5617460374806109,19
102,call,1.0643835864851434,103
102,put,0.5567871935505773,19
103,call,0.6890103205606709,6
103,put,0.20778296280903272,1
104,call,0.818158026246837,9
104,put,0.2455004642817149,1
105,call,0.9798001436405784,51
105,put,0.37943363769330535,11
106,call,0.9359684312738412,95
106,put,0.5656877688409908,27
107,call,1.0113570180063332,86
107,put,0.5457822382084536,24
108,call,1.0101906474256004,86
108,put,0.5148674568211384,24
109,call,0.8937330358580933,97
109,put,0.5684782200286257,21
110,call,0.7830823064894638,3
110,put,0.31862390604616136,1
111,call,0.8794328641743547,5
112,call,0.9469262309409614,105
112,put,0.457563772459641,18
113,call,0.857412248994609,96
113,put,0.5409163963902622,25
114,call,0.8515631921136095,83
114,put,0.7680617106346975,21
115,call,0.9114449186179571,66
115,put,0.6033635323662018,22
116,call,0.8992754794630808,76
116,put,0.5262228260426555,19
117,call,0.9520463422829906,7
117,put,0.3595320538997669,1
118,call,0.78490365815186,8
118,put,0.42650786837957666,1
119,call,1.0113877001462717,81
119,put,0.5200878110477377,22
120,call,1.0129744428493157,88
120,put,0.5616377786069406,21
121,call,0.9852215014940756,95
121,put,0.5898526635625667,20
122,call,1.0529443833499497,90
122,put,0.42491521270136573,13
123,call,1.101061747797069,53
123,put,0.47123844637201423,3
124,call,1.0621555336202968,3
125,call,1.0677839009653118,6
125,put,0.3347929431770746,1
126,call,0.9165110747645596,62
126,put,0.5491012392748548,9
127,call,0.9589700184739437,75
127,put,0.5795326926181775,7
128,call,1.0826549368647915,70
128,put,0.4572130571411293,10
129,call,1.0157676777713485,75
129,put,0.558295094042674,7
130,call,1.0010101889384386,73
130,put,0.5423399571994038,9
131,call,0.9813463382117575,3
